Judul,Perusahaan,Lokasi,Gaji,Tanggal,Tipe Pekerjaan,Fungsi Pekerjaan,Jenjang Karir,Pengalaman Minimal,Tingkat Pendidikan,Jurusan Pendidikan,Deskripsi Pekerjaan,Deskripsi Persyaratan,Deskripsi Perusahaan,Gaji Minimum,Gaji Maksimum
Admin,PT Hakiki Donarta,Pasuruan,Gaji di atas ekspektasi,2025-04-11,Tidak Disebutkan,Administrasi,Pemula / Staf,-,"S1, D3",Semuanya,"Mengecek laporan kas keluar masuk perusahaan
Mengarsip dokumen
Membuat daftar tagihan
Mengatur dokumen PO 
Membuat surat menyurat perusahaan","Perempuan
Pendidikan Minimal D3 semua jurusan
Usia max 35 tahun
Dapat mengoperasikan Komputer
Teliti disiplin rapi",We are a company specialized in food and beverage ingredients The company is family owned and it is entering the era of the 3rd generation And todays Hakiki is so much more As values and behaviors around food have changed so have we Today were the leading food ingredients provider of global and international brands We help people to enjoy the goodness of food,,
Call Center Staff (Yogyakarta),PT Puriasri Bhaktikarya,Yogyakarta,"Rp 3,5 juta - Rp 6,5 juta/bulan",2025-04-11,Tidak Disebutkan,"Layanan Pelanggan, Operasi Perbankan",Pemula / Staf,-,"S2, S1, D3",Semuanya,"Menangani panggilan masuk dan keluar dari nasabah untuk menjawab pertanyaan menyelesaikan keluhan atau memberikan informasi layanan
Memberikan solusi yang cepat dan tepat terkait produk atau layanan perbankan
Mencatat setiap interaksi pelanggan secara rapi dan akurat ke dalam sistem database perusahaan
Menjaga komunikasi yang sopan ramah dan profesional dalam setiap percakapan
Berkoordinasi dengan tim terkait untuk menyampaikan keluhan atau masukan pelanggan yang membutuhkan penanganan lebih lanjut
Fasilitas 
Gaji UMK
BPJS Kesehatan
BPJS Ketenagakerjaan","Pendidikan minimal D3
IPK minimal 275
Usia maksimal 30 tahun
Memiliki SKCK
Penempatan di Bank BUMN Yogyakarta",PT Puriasri Bhaktikarya atau disingkat PT PaBk adalah perusahaan swasta nasional yang didirikan padatahun 1992 merupakan kelompok usaha Yayasan Kesejahteraan Pensiunan Bank Exim dengan kegiatan usaha di Bisnis Alih Daya Training dan Consulting,3500000.0,6500000.0
Airport Staff (Airlines),VIETNAM AIRLINES JSC,Jakarta Selatan,Gaji di atas ekspektasi,2025-04-11,Tidak Disebutkan,Awak Penerbangan,Pemula / Staf,2 tahun,"S1, D3",Semuanya,"Department    Ground Operation  Airport Services
Report             Station Manager
Location          I Gusti Ngurah Rai International Airport Bali
Job Purpose 
To ensure the smooth efficient and safe handling of airline operations at the airport including passenger services baggage handling flight coordination and compliance with aviation standards and regulations under instruction of station manager

Key Responsibilities 
1 Passenger Handling
Supervise the ground handling company during checkin boarding and arrival processes to ensure strictly follow the nation laws airlines regulations and manuals as well as the airport authorities requirements
Assist passengers if there are any irregularities
Verify travel documents passport visa ticket etc
Provide assistance to VIPs unaccompanied minors UMs elderly passengers and passengers with special service request
2 Flight Operations Support
Coordinate with ramp security and baggage teams for timely serving aircraft ground time
Monitor flight schedules gate changes and delays
Ensure ontime departure and arrival coordination with the airline and airport authorities
3 Baggage Handling
Supervise proper tagging loading and unloading of passenger baggage
Manage lost and found baggage reports and assist with passenger claims
4 Customer Service
Handle passenger inquiries concerns and complaints professionally
Provide accurate flight and servicerelated information
Act as the representative of the airline to uphold a high standard of customer satisfaction
5 Documentation  Reporting
Prepare and submit operational reports Lounge report airport tax report stock report dailymonthly reports delay reports
Maintain accurate daily records and documentation
Promptly report any irregularities or security issues to station manager to get proper instructions to solve such cases
6 Safety  Compliance
Ensure full adherence to company regulations and manuals and airport authorities requirements
7 Liaison
Coordinate with ground handling agents immigration customs and airline crew
8 Slotflight permissions
Apply slotflight permissions to local airport authorities when required such as aircraft change extra flight flight cancel VIP flight etc
Submit papers regarding to seasonal schedule to local airport authorities
9 Administrationoffice
Handle invoices
Assist SupervisorsManagers when required
Make report when required
Do any duties assigned by Managers
Assist other junior staffs joint work with managers","Maximum 35 years old
Minimum Diploma III
Prior 2 year in experiences in airlines or travel industries as a passenger handling or airport operation staff
Knowledge of Amadeus system is an advantage
Fluent in written and spoken English must have a valid Toeic certificate minimum Toeic 600 or equivalent
Proficient in Microsoft Office PowerPoint Excel Word  Outlook email etiquette and internet usage
Strong interpersonal and customer service skills
Willing and able to work in shifts including weekends and public holidays


Employment Benefits 
Competitive salary package
Religious holiday allowance
BPJS Health  Employment insurance
Annual leave
Training course
Discounted air tickets",Vietnam Airlines the Flag Carrier of Vietnam was founded in January 1956 when the Civil Aviation Authority was established by the Government of Vietnam marking the birth of the civil aviation sector in Vietnam At that time the fleet was very small with 5 propeller aircraft of IL 14 AN 2 and Aero 45 The first domestic flight started in September 1956 The period between 1976 and 1980 set a milestone of expansion and effective operation of multiple international routes to Asian countries such as Laos Cambodia China Thailand the Philippines Malaysia and Singapore At the end of the period Vietnam civil aviation became a member of the International Civil Aviation Organization ICAO In April 1993 the Flag Carrier of Vietnam Vietnam Airlines officially became a stateowned air transport enterprise On May 27 1995 Vietnam Airlines Corporation was established on the basis of merging 20 air service entities with Vietnam Airlines as the core enterprise,,
Telesales (Semarang),PT Puriasri Bhaktikarya,Semarang,"Rp 3,5 juta - Rp 6,5 juta/bulan",2025-04-11,Tidak Disebutkan,"Penjualan dan Pemasaran, Operasi Perbankan",Pemula / Staf,-,"S2, S1, D3",Semuanya,"Melakukan panggilan keluar outbound call untuk menawarkan produk atau layanan kepada calon nasabah
Memahami fitur produk dengan baik agar dapat menjelaskan secara jelas dan meyakinkan kepada nasabah
Mencatat hasil percakapan dan respon pelanggan ke dalam sistem CRM atau laporan harian
Mengejar target penjualan harianmingguan yang telah ditentukan oleh perusahaan
Menjaga hubungan baik dengan pelanggan potensial untuk peluang penjualan lanjutan","Pendidikan minimal D3
IPK minimal 275
Usia maksimal 26 tahun
Domisili Semarang
Penempatan di Bank BUMN",PT Puriasri Bhaktikarya atau disingkat PT PaBk adalah perusahaan swasta nasional yang didirikan padatahun 1992 merupakan kelompok usaha Yayasan Kesejahteraan Pensiunan Bank Exim dengan kegiatan usaha di Bisnis Alih Daya Training dan Consulting,3500000.0,6500000.0
"Sales Generalis Konsumtif/Produktif (Kudus, Semarang, Tegal)",PT Puriasri Bhaktikarya,Semarang,"Rp 3,5 juta - Rp 6,5 juta/bulan",2025-04-11,Tidak Disebutkan,"Penjualan dan Pemasaran, Operasi Perbankan",Pemula / Staf,-,"S1, D3",Semuanya,"Menawarkan produk kredit konsumtif atau produktif kepada calon nasabah sesuai target yang ditentukan
Membangun dan menjaga hubungan baik dengan nasabah serta jaringan mitra di lapangan
Melakukan survei kelayakan calon debitur dan mengumpulkan dokumen pendukung pengajuan kredit
Melaporkan progres penjualan dan pencapaian target secara berkala kepada supervisor
Memastikan kepatuhan terhadap prosedur dan kebijakan bank dalam proses penjualan dan seleksi nasabah","PriaWanita usia maksimal 35 tahun
Pendidikan minimal D3
IPK minimal 275
Penempatan Bank Mandiri area Kudus Semarang dan Tegal",PT Puriasri Bhaktikarya atau disingkat PT PaBk adalah perusahaan swasta nasional yang didirikan padatahun 1992 merupakan kelompok usaha Yayasan Kesejahteraan Pensiunan Bank Exim dengan kegiatan usaha di Bisnis Alih Daya Training dan Consulting,3500000.0,6500000.0
Guru Tetap Eksakta,Rumah Belajar Top Score,Tangerang,Gaji di atas ekspektasi,2025-04-11,Tidak Disebutkan,Guru / Tutor,Pemula / Staf,1 tahun,S1,"Ilmu Biologi, Pendidikan, Bahasa Inggris, Matematika",,"1 Menguasai Pengajaran  Materi Eksakta Matematika Fisika Kimia Biologi  Bahasa Inggris
2 Amanah Rajin Disiplin  Taat Aturan
3 Komitmen kerja jangka panjang
4 Passion di Dunia Pendidikan

Benefit 
1 Karyawan Tetap
2 Gaji Pokok
3 Tunjangantunjangan
4 Bonus Kinerja
5 Jenjang KARIER",CV Rumah Belajar Top Score adalah bimbel berlokasi di tangerang dan tangerang selatan dan kami berusaha menjadi yg terbaik untuk memberikan pengajaran dengan pembelajaran mengikuti kurikulum sekolah untuk usia dini umur 3 thn sampai umur 17 thn  pra sekolah sampai SMA dan persiapan masuk universitas,,
SPV HR Generalist,PT Galic Bina Mada,Bekasi,Gaji di atas ekspektasi,2025-04-10,Tidak Disebutkan,Sumber Daya Manusia,Supervisor,5 tahun,"S2, S1","Hukum, Manajemen, Psikologi","1 Maintain employee data to ensure all data valid and update
2 Provide support and guidance to deal with employee issues and performance
3 Coordinate and organize team building and engagement activities
4 Provide compensation and benefits payroll recruitment BPJS WLKP performance management training and development
5 Managing and analyzing overall HR Operations function including administration employee attendance employees documents and general administration","1 Minimal Bachelor Degree preferable in Human Resources Psychology Management or related major
2 Maximum age 40 years old
3 Minimal 5 years experience in HR Generalist
4 Well known about HR Function
5 Able to do multitask job
6 Having strong analytical Proaktive with good problem solving skills and Decision Making
7 Good communication good personality detail and responsibility
8 Proficient Microsoft office
9 Proficient in speaking English
10 Willing to be placed in GBM grup company",Tentang perusahaan Didirikan pada tahun 1971 PT Galic Bina Mada awalnya perdagangan dan mendistribusikan pewarna bahan kimia dan aditif untuk industri tekstil Indonesia Saat ini perusahaan ini dikenal sebagai pemasok terpercaya dan pilihan untuk pewarna kualitas tinggi bahan kimia  aditif untuk makanan pelapisan permukaan tinta cetak kulit plastik kertas farmasi dan industri perawatan pribadi Kami memiliki lima kantor penjualan Di Jakarta Bandung Semarang Pasuruan Surabaya dan Bekasi sebagai kantor pusat Semua kantor penjualan dilengkapi dengan gudang luas untuk produk industri gudang berAC untuk bahan makanan armada pengiriman sendiri dan sistem database online Untuk memastikan daya saing kami kami memiliki laboratorium Quality Control di Cibitung Di atas segalanya orang penjualan kami adalah salah satu yang lebih luas dan dihormati dalam industri masingmasing Mengapa bergabung dengan kami PT Galic Bina Mada adalah perusahaan manufaktur bahan kimia yang mengkhususkan dalam pengadaan dan pasokan bahan kimia khusus dan umum yang digunakan dalam berbagai aplikasi industri Kami memiliki budaya perusahaan yang dinamis kreatif  dan inovatif serta menyediakan kesempatan bagi Anda untuk mengembangkan karier bersama kami,,
Admin Sales,PT Personel Alih Daya Tbk,Medan,"Rp 3,5 juta - Rp 4 juta/bulan",2025-04-10,Tidak Disebutkan,Administrasi,Pemula / Staf,1 tahun,"S1, D3",Semuanya,"1 Follow up rutin dengan calon mitra potensial
2 Follow up rutin terkait pembiayaan calon mitra
3 Membuat laporan rencana pendampingan mitra
4 Membuat perjalanan dinas Bimtek nara sumber dan lainnya
5 Membuat laporan perjalanan dinas
6 Melakukan Bimtek dan follow up dgn mitra diwilayah Satgas","Pendidikan minimal D3 
Usia maksimal 30 tahun 
Tinggi badan minimal 155cm
Diutamakan yang memiliki pengalaman sebagai account officer di bank atau lembaga keuangan",Berdiri sejak tahun 2006 PT Personel Alih Daya Persero Tbk  PERSADA  tumbuh dengan harapan dapat menjadi perusahaan terbaik dalam meyediakan solusi terpadu dipasar regional Dengan 5 layanan utama dibidang layanan teknikal dan pemeliharaan peralatan telekomuniasi layanan call center layanan perkantoran layanan pengamanan dan layanan sumber daya manusia PERSADA menyediakan seluruh kebutuhan dukungan pengelolaan sumber daya yang dibutuhkan oleh perusahaan PERSADA secara terus menerus melakukan inovasi untuk meningkatkan kualitas layanan dan produknya dengan menggabungkan teknologi yang berkembang saat ini agar yang dapat membantu mitra kerjanya dalam mencapai tujuan secara efektif dan efisien PERSADA menjadi menjadi pengingat untuk setiap solusi  dukungan yang anda butuhkan karena PERSADA sepenuh hati membantu mitranya untuk tumbuh menjadi besar ,3500000.0,4000000.0
"Pemasaran Online (Meta Ads, Google Ads, TikTok Ads)",PT Rakhasa Artha Wisesa,Jakarta Barat,Gaji di atas ekspektasi,2025-04-10,Tidak Disebutkan,Digital Marketing,Pemula / Staf,2 tahun,S1,Pemasaran digital," Menyusun melaksanakan dan mengelola kampanye iklan berbayar di MetaAds Facebook  Instagram Google Ads dan TikTok Ads
 Mengoptimalkan anggaran dan strategi iklan untuk mencapai hasil yang maksimal dengan ROI yang baik
 Membuat laporan performa iklan secara rutin dan memberikan insight untuk meningkatkan efektivitas kampanye
 Mengidentifikasi dan memetakan audiens yang relevan untuk setiap kampanye
 Melakukan segmentasi berdasarkan demografi minat lokasi dan perilaku pengguna
 Menguji berbagai jenis audiens dan menyesuaikan strategi untuk memastikan hasil yang maksimal
 Menganalisis data kampanye untuk melihat tren performa dan mengidentifikasi peluang untuk perbaikan
 Membuat laporan performa harian mingguan dan bulanan untuk manajemen terkait
 Melakukan AB testing untuk memastikan iklan yang efektif dan relevan
 Mengembangkan strategi pemasaran digital berbayar untuk meningkatkan visibilitas dan konversi
 Menyusun rencana kampanye iklan yang sesuai dengan tujuan bisnis dan audiens target
 Menyesuaikan anggaran pemasaran berdasarkan hasil kampanye sebelumnya untuk optimasi lebih lanjut
 Bekerja sama dengan tim kreatif untuk membuat materi iklan yang menarik dan sesuai dengan standar platform
 Memberikan arahan pada desain iklan berdasarkan hasil analisis dan feedback performa iklan sebelumnya
Our Premium Tools Benefits
1 Access Canva Pro
2 Access ChatGPT Pro
3 Access Gemini Premium
4 Access CoPilot Premium
5 Unlimited Imagen 
6 Unlimited AudioGen 
7 Uncensored ChatGPT 
8 Unlimited VideoFusion 
9 Unlimited 3D Verse 
10 Unlimited LLM Master 
11 Unlimited 8K upscale 
12 AI Deepfake Creation 
13 AI Face Swap 
14 AI Interiors Generator 
15 AI Voice Cloning 
16 fluxheadshot 
17 Object Remover 
18 Virtual TryOn 
19 AI Avatar Generator 
20 ControlNet 
21 Relight Images ","Kualifikasi 
 Minimum gelar Sarjana di bidang Pemasaran Bisnis atau bidang terkait
 Pengalaman minimal 2 tahun dalam pemasaran digital dengan fokus pada
iklan berbayar di Meta Ads Google Ads dan TikTok Ads
 Pengalaman dalam pengelolaan anggaran pemasaran yang besar dan
pengoptimalan hasil iklan
 Mahir menggunakan platform iklan Meta Ads Google Ads dan TikTok
Ads
 Memahami konsep dasar SEO dan SEM
 Keterampilan analitis yang baik dengan kemampuan mengolah data dan
membuat laporan
 Kemampuan komunikasi yang baik baik secara lisan maupun tertulis
 Bisa bekerja dalam tim dan berkolaborasi dengan berbagai pihak terkait
 Keterampilan dalam menggunakan alat analisis seperti Google Analytics dan
platform pelaporan terkait
 Proaktif dalam mengidentifikasi tren dan peluang baru di dunia pemasaran
digital
 Memiliki kemampuan multitasking dan manajemen waktu yang baik",We are a global IT Service Solution and IT Consultant company building powerful mobile and desktop application,,
Sales Executive Telkomsel (Area Jakarta Selatan),PT Rajawali Anugrah Resources,Jakarta Selatan,"Rp 3,5 juta - Rp 6 juta/bulan",2025-04-10,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,-,Apa Saja,Lainnya," Menawarkan produk wifi internet ke customer  pelanggan  sebar brosur 
 DTD Jaga Stand  Pameran dan Digital Marketing
 Memaintance customer  pelanggan 
 Target penjualan 
 Report harian mingguan dan bulanan ke leader  supervisor sales


Jika berminat bisa hubungi ke nomer WA 082231836494 Ibu Ghisa","1 Pria  Wanita
2 Pend Min SMA  SMK
3 Usia Min 18 thn sd 40 thn
4 Wajib mempunyai kendaraan roda dua motor",We are a fast growing company which provides in the staffing servicehuman resource training management and event organizer We have handled professionally a lot of big company and a growing company,3500000.0,6000000.0
TELKOMSEL,PT Rajawali Anugrah Resources,Jakarta Selatan,"Rp 3,5 juta - Rp 6 juta/bulan",2025-04-10,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,-,Apa Saja,Lainnya," Menawarkan produk wifi internet ke customer  pelanggan  sebar brosur 
 DTD Jaga Stand  Pameran dan Digital Marketing
 Memaintance customer  pelanggan 
 Target penjualan 
 Report harian mingguan dan bulanan ke leader  supervisor sales

Jika berminat bisa hubungi ke nomer WA 082231836494 Ibu Ghisa","1 Pria  Wanita
2 Pend Min SMA  SMK
3 Usia Min 18 thn sd 40 thn
4 Wajib mempunyai kendaraan roda dua motor


Jika berminat bisa hubungi ke nomer WA 082231836494 Ibu Ghisa",We are a fast growing company which provides in the staffing servicehuman resource training management and event organizer We have handled professionally a lot of big company and a growing company,3500000.0,6000000.0
Field Collector,PT Puriasri Bhaktikarya,Prov. DKI-Jakarta,Gaji di atas ekspektasi,2025-04-10,Tidak Disebutkan,Kolektor,Pemula / Staf,-,"S1, D3, SMA",Semuanya,,"Lakilaki
Usia Maksimal 26 Tahun
Min Lulusan SMASederajat
Sudah Vaksin Ke3
Tidak Pernah Bekerja di PT Bank Mandiri
Note  Kirimkan CV dan Lamaran ke
 recruitmentpabkgmailcom
 Yunda 081292269624",PT Puriasri Bhaktikarya atau disingkat PT PaBk adalah perusahaan swasta nasional yang didirikan padatahun 1992 merupakan kelompok usaha Yayasan Kesejahteraan Pensiunan Bank Exim dengan kegiatan usaha di Bisnis Alih Daya Training dan Consulting,,
Supervisor Trading (Malang),Exeltis Indonesia,Malang,Gaji di atas ekspektasi,2025-04-09,Tidak Disebutkan,Penjualan dan Pemasaran,Pemula / Staf,2 tahun,D3,Semuanya,Bertanggung jawab untuk melakukan kunjungan kerja mengidentifikasi calon pelanggan mengimplementasikan kampanye pemasaran dan melaksanakan penjualan produk kepada konsumen untuk memenuhi rencana penjualan perusahaan sehingga dapat berjalan tepat waktu dan akurat,"Persyaratan 
 Pendidikan S1
 Memiliki 1 tahun pengalaman sebagai Salesman Produk Trading Principal Farmasi atau PBF di area penempatan
 Mampu bekerja secara mandiri maupun dalam tim
 Memiliki kemampuan komunikasi dan negosiasi yang baik
 Memiliki kendaraan bermotor dan SIM C
 Area penempatan  Malang",Exeltis Indonesia merupakan bagian dari keluarga besar perusahaan multi nasional Insud Pharma yang berkantor pusat di Madrid Spanyol Exeltis Indonesia hadir untuk mendukung pelayanan kesehatan dengan produk bermutu tinggi di Indonesia Sejarah panjang Exeltis Indonesia dimulai dari PT EMPEECO pada 30 April 1974 di Semarang Jawa Tengah yang merupakan cikal bakal berdirinya Exeltis Indonesia PT EMPEECO berubah nama menjadi PT Nusa Jaya Farma yang disingkat PT Nufarindo pada 24 April 1977 yang pada akhirnya pada 15 Juni 1981 nama PT Nufarindo secara resmi dipergunakan Sejarah besar transformasi terjadi saat PT Nufarindo diakuisisi oleh CHEMO group sebuah perusahaan multi nasional berbasis di Spanyol pada 10 Desember 2012 Di tahun 2013 Exeltis menjadi bagian dari CHEMO group Hal ini menjadikan PT Nufarindo sebagai bagian dari Exeltis Global pada 15 Oktober 2013 Pada 26 Oktober 2017 CHEMO group meluncurkan korporasi INSUD Pharma yang menggabungkan keseluruhan bisnis di dalamnya termasuk PT Nufarindo atau Exeltis Indonesia INSUD Pharma berada di lebih dari 40 negara di dunia Exeltis Indonesia sebagai bagian dari INSUD Pharma memiliki lebih dari 400 profesional yang tersebar di seluruh Indonesia dari Aceh hingga Papua,,
WAITER,PT Tirta Gracia Fiesta,Jakarta Selatan,Gaji di atas ekspektasi,2025-04-09,Tidak Disebutkan,Makanan dan Minuman,Pemula / Staf,-,Apa Saja,Semuanya,"Berpenampilan rapi
Berkomunikasi dengan baik dan sopan
Mampu bekerja secara tim jujur mau belajar","Menerima customer yang datang dan mengantar customer ketempat duduk
Mencatat orderan customer dan menginfokan orderan ke kitchen untuk di proses pesanan
Mengantar dan minuman sesuai dengan orderan customer
Membersihkan meja customer seperti piring gelas dan peralatan yang lain meja kursi setelah customer selesai makan
Memastikan kebersihan dan keamanan di tempat kerja
Bekerja sesuai dengan jadwal dan tugas sebagaimana diberikan oleh Leader",Kami adalah perusahaan nasional yang bergerak di bidang Food  Beverage yang mempunya cabang Di dalam dan luar Negeri Dalam kondisi usaha kami yang terus maju  berkembang perusahaan kami terus melebarkan sayapnya yang salah satunya kami telah membuka cafe  resto Kami mempunyai dan menanankan nilainilai Perusahaan 1 Jujur 2 Bertanggungjawab 3 Berorientasi pada hasil Dengan memiliki nilai nilai tersebut dan budaya perusahaan yang disiplin profesional dinamis kreattif dan inovatif sertamemberikan kesempatan kepada anda untuk mengembangkan karir bersama kami,,
Telesales Perbankan,PT Bina Talenta,KOTA TANGERANG SELATAN,"Rp 4,7 juta - Rp 4,9 juta/bulan",2025-04-09,Tidak Disebutkan,Telemarketing,Pemula / Staf,1 tahun,SMA,Semuanya,"Menghubungi calon pelanggan baru dan pelanggan lama untuk memberitahukan mereka mengenai produk dan layanan perusahaan menggunakan naskah yang sudah disiapkan
Menjawab pertanyaan seputar produk dan perusahaan
Mencari tahu kebutuhan pelanggan melalui pertanyaanpertanyaan untuk menutup penjualan
Menginput dan mengupdate datadata pelanggan ke dalam database
Menerima dan memproses pesanan yang masuk dengan caracara yang tepat
Mengerjakan sesuatu dengan usaha lebih demi mencapai kuota penjualan dan memfasilitasi penjualan di masa mendatang","Wanita
Usia maks 35 Tahun
Pendidikan Min SMA
Menyukai dan terbiasa bekerja Target diutamakan
Memiliki pengalaman sebagai Telemarketing lebih disukai
Komunikatif
Lokasi kerja  Bintaro  Tangsel

Benefit 
Basic Salalry
Allowance
BPJS
THR
Insentive",An outsourcing company specialized in Banking and financial industry,4700000.0,4900000.0
Internal Audit,PT Asia Garments Accesories,Jakarta Pusat,Gaji di atas ekspektasi,2025-04-09,Tidak Disebutkan,Audit Intern / Pengawasan,"Staf Senior, Supervisor, Asisten Manajer",1 tahun,"S1, SMA, Apa Saja","Akuntansi, Pemasaran","Keuangan  
1 Memvalidasi laporanbukti transaksi keuangan toko pemasukan dan pengeluaran  
2 Monitoring Status Hutang Customer menyesuaikan rekap data divisi internal
3 Reminder Admin store hutang yang akan jatuh tempo dan tagihan hutang Lewat Jatuh Tempo
4 Survey  Audit Limit Hutang
5 Penagihan Hutang Outstanding visitchattel

Operasional  
1 Monitoring standard operation prosedur toko2 dalam kota dan luar kota 
2 Memberikan arahan untuk penerapan SOP yang benar 
3 Menyimpulkan dan memberikan penilaian sesuai dengan standard KPI yang ada","1 Pria usia max 40 tahun
2 Memiliki integritas dan ketelitian yang baik 
3 Pernah memiliki pengalaman mensupervisi divisi minimal 1 tahun
4 Mengerti  Memahami sistem Audit internal 
5 Mentalitas yang bagus dan bisa mempertanggung jawabkan hasil penilaian
6 Bisa berkendara  memiliki kendaraan pribadi 
7 Siap bertugas luar kota dalam Waktu tertentu",PT Asia Garments Accessories legalized officially as a registered company at January 2011 from the previous state of CV Asia Garment had been in the garments accessories industry since 1992 With products varied from laces buttons hot fix cloth application etc It was an honourable achievement and significant growth for us to be trusted as a reliable partner for companies throughout Indonesia Therefore we strive to bring a better to best services by keep improving and growing each commitment in terms of products and services as well Office hours  Sabtu 0800  1500 wib,,
Admin HR Perbankan,PT Bina Talenta,Prov. DKI-Jakarta,"Rp 4,7 juta - Rp 5,3 juta/bulan",2025-04-09,Tidak Disebutkan,Administrasi,Pemula / Staf,1 tahun,S1,Semuanya,"Membantu departemen dan manajer HR secara langsung
Menjaga dan mengorganisir dokumen pekerja seperti informasi pribadi dan kontrak kerja
Memperbarui database HR seperti dokumen pribadi serta data karyawan baru dan yang lama
Membuat dan melaporkan metrik HR seperti tingkat turnover secara rutin
Membantu proses rekrutmen dan onboarding
Menjawab pertanyaan karyawan tentang individu atau halhal yang berkaitan dengan HR
Membantu menyelesaikan masalah yang terjadi di kantor secara internal
Menjadi orang pertama yang dihubungi oleh pihak luar seperti vendor untuk memastikan pekerjaan sama berjalan sesuai dengan hukum yang berlaku","S1 segala jurusan
Min 12 tahun pengalaman dalam Administrasi HR lebih disukai di industri perbankan
Pemahaman yang kuat tentang prinsip praktik dan undangundang ketenagakerjaan SDM
Keterampilan administrasi dan organisasi yang sangat baik dengan perhatian tinggi terhadap detail
Keterampilan komunikasi interpersonal dan pemecahan masalah yang sangat baik
Kemahiran dalam MS Office Suite Word Excel PowerPoint
Lokasi kerja  Sudirman  Jaksel",An outsourcing company specialized in Banking and financial industry,4700000.0,5300000.0
cook helper,PT Tirta Gracia Fiesta,Jakarta Selatan,Gaji di atas ekspektasi,2025-04-09,Tidak Disebutkan,"Makanan dan Minuman, Juru Masak",Pemula / Staf,-,Apa Saja,Semuanya,"membantu Cook dalam menyiapkan bahan masakan
Bisa menggantikan Cook jika cook sedang off untuk yang bisa pegang wok
Bekerja sesuai dengan jadwal dan tugas sebagaimana diberikan oleh Leader","Mau belajar jujur semangat tinggi inisiatif komunikatif teliti cekatan
Pengalaman min 1th fresh graduate dipertimbangkan
Bersedia bekerja shift dan masuk di hari libur SabtuMinggu atau hari libur nasional
Penempatan di outlet manapun area Jakarta Selatan dan Jakarta Barat",Kami adalah perusahaan nasional yang bergerak di bidang Food  Beverage yang mempunya cabang Di dalam dan luar Negeri Dalam kondisi usaha kami yang terus maju  berkembang perusahaan kami terus melebarkan sayapnya yang salah satunya kami telah membuka cafe  resto Kami mempunyai dan menanankan nilainilai Perusahaan 1 Jujur 2 Bertanggungjawab 3 Berorientasi pada hasil Dengan memiliki nilai nilai tersebut dan budaya perusahaan yang disiplin profesional dinamis kreattif dan inovatif sertamemberikan kesempatan kepada anda untuk mengembangkan karir bersama kami,,
Business Development Team Lead,"EMTEK (PT Elang Mahkota Teknologi, Tbk)",Prov. DKI-Jakarta,Gaji di atas ekspektasi,2025-04-08,Tidak Disebutkan,"Penjualan dan Pemasaran, Pengembangan Bisnis, Penjualan (Non-Teknis)",Supervisor,5 tahun,"S2, S1","Semuanya, Manajemen, Pemasaran","Responsible for managing and leading sales team by providing a strategic sales plan
Developing and implementing effective sales strategies to drive revenue growth and achieve sales targets
Identifying new business opportunities market trends and customer needs to adjust strategies accordingly
Presenting the benefits and features of the companys products or services to potential customers and addressing any questions or concerns they may have
Monitoring the teams sales performance and addressing issues when necessary
Collaborating with crossfunctional teams including campaign coordinator and community team to align sales efforts with overall company goals
Benefits We offer a competitive compensation package including salary and performancebased incentives","This job posting is intended for one of Emtek subsidiaries which is Home Tester Club Indonesia
Candidates must possess at least bachelors degree in management or other related degrees masters degree is a plus
Minimum 5 years of proven working experience in media industry advertising marketing strategy or related field
Experienced in leading a team
Excellent communication negotiation and interpersonal skills
Strong analytical and problemsolving abilities
Selfmotivated and goaloriented individual
Strong leadership abilities",For 35 years of our existence in media business has been a proof of our love for this works Maintaining our passion and creativity in working makes us ready to face challenges in the future EMTEK is now a holding company that manages subsidiaries engaged in media entertainment online telecommunications technology and health,,
Rekrutmen Officer,PT Sumberdaya Dian Mandiri,KOTA TANGERANG,Gaji di atas ekspektasi,2025-04-08,Tidak Disebutkan,Sumber Daya Manusia,Pemula / Staf,1 tahun,S1,Psikologi,"Melakukan kegiatan pencarian calon pekerja Sourcing
Melakukan kegiatan seleksi kepada para kandidat
Melakukan koordinasi dengan User terkait kandidat yang lulus seleksi
Melakukan kegiatan administrasi terkait rekrutmen dan report","Usia Mak 28 tahun
Pendidikan S1 Jurusan Psikologi
Pengalaman Min 1 tahun
Memahami alur kerja Recruitmen
Menguasai penggunaan alat tes Psikologi
Penempatan kerja di Tangerang dan Padang",As one of the leading and recognized service provider for industrial and commercial projects with over 10 years of experiences pt Sdm today employees more than 5000 employees working in various companies local and multinational corporation Since its establishment in early 2000 as a subsidiary company of PT Tunaskarya Indoswasta pt Sdm grows provides various type of consultancy services as its core capabilities and competencies and has a very strong commitment to deliver quality in service to all its clients With offices in Jakarta Bandung Semarang Yogyakarta Surabaya Malang Palembang Padang Batam and Bintan we commit to do our best for Clients,,
